gender,SeniorCitizen,Partner,Dependents,tenure,customerID,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Cuentas_Diarias,Churn
Female,0,Yes,Yes,9,0002-ORFBO,One year,Yes,Mailed check,65.6,593.3,Yes,No,DSL,No,Yes,No,Yes,Yes,No,2.1866666666666665,No
Male,0,No,No,9,0003-MKNFE,Month-to-month,No,Mailed check,59.9,542.4,Yes,Yes,DSL,No,No,No,No,No,Yes,1.9966666666666666,No
Male,0,No,No,4,0004-TLHLJ,Month-to-month,Yes,Electronic check,73.9,280.85,Yes,No,Fiber optic,No,No,Yes,No,No,No,2.4633333333333334,Yes
Male,1,Yes,No,13,0011-IGKFF,Month-to-month,Yes,Electronic check,98.0,1237.85,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,3.2666666666666666,Yes
Female,1,Yes,No,3,0013-EXCHZ,Month-to-month,Yes,Mailed check,83.9,267.4,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,2.796666666666667,Yes
Female,0,No,Yes,9,0013-MHZWF,Month-to-month,Yes,Credit card (automatic),69.4,571.45,Yes,No,DSL,No,No,No,Yes,Yes,Yes,2.3133333333333335,No
Female,1,Yes,No,71,0013-SMEOE,Two year,Yes,Bank transfer (automatic),109.7,7904.25,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.6566666666666667,No
Male,0,Yes,No,63,0014-BMAQU,Two year,Yes,Credit card (automatic),84.65,5377.8,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,2.8216666666666668,No
Female,1,No,No,7,0015-UOCOJ,Month-to-month,Yes,Electronic check,48.2,340.35,Yes,No,DSL,Yes,No,No,No,No,No,1.6066666666666667,No
Female,0,Yes,Yes,65,0016-QLJIS,Two year,Yes,Mailed check,90.45,5957.9,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,3.015,No
Male,0,No,No,54,0017-DINOC,Two year,No,Credit card (automatic),45.2,2460.55,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,1.5066666666666668,No
Female,0,Yes,Yes,72,0017-IUDMW,Two year,Yes,Credit card (automatic),116.8,8456.75,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.893333333333333,No
Female,0,Yes,No,5,0018-NYROU,Month-to-month,Yes,Electronic check,68.95,351.5,Yes,No,Fiber optic,No,No,No,No,No,No,2.2983333333333333,No
Female,0,No,No,72,0019-EFAEP,Two year,Yes,Bank transfer (automatic),101.3,7261.25,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,3.3766666666666665,No
Female,0,No,No,56,0019-GFNTW,Two year,No,Bank transfer (automatic),45.05,2560.1,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,1.5016666666666665,No
Female,0,Yes,Yes,71,0020-INWCK,Two year,Yes,Credit card (automatic),95.75,6849.4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,3.191666666666667,No
Female,0,Yes,Yes,34,0020-JDNXP,One year,No,Mailed check,61.25,1993.2,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,2.0416666666666665,No
Female,1,No,No,1,0021-IKXGC,Month-to-month,Yes,Electronic check,72.1,72.1,Yes,Yes,Fiber optic,No,No,No,No,No,No,2.4033333333333333,No
Male,1,No,No,45,0022-TCJCI,One year,No,Credit card (automatic),62.7,2791.5,Yes,No,DSL,Yes,No,Yes,No,No,Yes,2.0900000000000003,Yes
Male,1,No,No,1,0023-HGHWL,Month-to-month,Yes,Electronic check,25.1,25.1,No,No phone service,DSL,No,No,No,No,No,No,0.8366666666666667,Yes
Female,1,Yes,No,50,0023-UYUPN,One year,No,Electronic check,25.2,1306.3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.84,No
Female,0,Yes,No,13,0023-XUOPT,Month-to-month,No,Electronic check,94.1,1215.6,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,3.1366666666666663,Yes
Female,0,Yes,Yes,23,0027-KWYKW,Month-to-month,Yes,Electronic check,83.75,1849.95,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,2.7916666666666665,No
Female,0,No,No,3,0030-FNXPP,Month-to-month,No,Mailed check,19.85,57.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6616666666666667,No
Female,0,Yes,Yes,4,0031-PVLZI,Month-to-month,No,Mailed check,20.35,76.35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6783333333333333,Yes
Female,0,Yes,Yes,1,0032-PGELS,Month-to-month,No,Bank transfer (automatic),30.5,30.5,No,No phone service,DSL,Yes,No,No,No,No,No,1.0166666666666666,Yes
Female,0,Yes,Yes,55,0036-IHMOT,One year,Yes,Bank transfer (automatic),103.7,5656.75,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,3.4566666666666666,No
